paragraph,subparagraph,description,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,GBA,overall
3,3,"Anzahl der Verfahren, in denen im Berichtsjahr Maßnahmen nach § 100a Abs. 1 StPO angeordnet wurden",579,1278,333,90,35,198,698,155,417,291,237,47,223,117,331,115,78,5222
4,4.1,Erstanordnungen,1621,3216,1087,193,122,802,2397,310,1009,980,334,66,513,299,798,226,628,14601
4,4.2,Verlängerungsanordnungen,249,460,271,74,21,147,710,43,224,234,96,25,91,43,188,45,209,3130
5,5.1,im richterlichen Beschluss angeordnet,0,0,0,0,0,0,1,0,4,14,0,1,0,0,0,4,1,25
5,5.2,Tatsächlich durchgeführt,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,3,14
6,6.1.a,"Straftaten des Friedensverrats, des Hochverrats und der Gefährdung des demokratischen Rechtsstaates sowie des Landesverrats und der Gefährdung der äußeren Sicherheit (§ 100a Abs. 2 Nr. 1a StPO)",25,8,12,2,0,0,77,4,5,4,7,0,1,0,82,0,88,315
6,6.1.b,Bestechlichkeit und Bestechung von Mandatsträgern (§ 100a Abs. 2 Nr. 1b StPO),0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7
6,6.1.c,Straftaten gegen die Landesverteidigung (§ 100a Abs. 2 Nr. 1c StPO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.1.d,Straftaten gegen die öffentliche Ordnung (§ 100a Abs. 2 Nr. 1d StPO),30,124,23,0,0,90,101,6,32,15,34,0,15,7,0,10,610,1097
6,6.1.e,Geld- und Wertzeichenfälschung (§ 100a Abs. 2 Nr. 1e StPO),7,11,9,0,0,0,0,0,4,1,0,0,0,0,0,0,0,32
6,6.1.f,Straftaten gegen die sexuelle Selbstbestimmung (§ 100a Abs. 2 Nr. 1f StPO),12,33,7,0,1,0,22,0,4,14,0,2,6,0,2,6,0,109
6,6.1.g,"Verbreitung, Erwerb und Besitz kinder- und jugendpornographischer Schriften (§ 100a Abs. 2 Nr. 1g StPO)",6,32,1,0,0,2,4,0,3,14,0,0,5,0,1,0,0,68
6,6.1.h,Mord und Totschlag (§ 100a Abs. 2 Nr. 1h StPO),151,220,136,5,13,218,535,30,89,49,7,7,39,14,77,9,82,1681
6,6.1.i,Straftaten gegen die persönliche Freiheit (§ 100a Abs. 2 Nr. 1i StPO),8,37,45,0,3,19,102,8,7,12,4,4,0,0,4,0,0,253
1,6.1.j,"Bandendiebstahl, Wohnungseinbruchdiebstahl und schwerer Bandendiebstahl (§100a Abs. 2 Nr. 1j StPO)",186,240,185,36,2,90,395,21,264,78,23,10,112,8,90,6,0,1746
1,6.1.k,Straftaten des Raubes und der Erpressung (§ 100a Abs. 2 Nr. 1k StPO),124,133,76,9,8,45,327,9,70,76,18,4,36,15,37,12,0,999
1,6.1.l,"Gewerbsmäßige Hehlerei, Bandenhehlerei und gewerbsmäßige Bandenhehlerei (§ 100a Abs. 2 Nr. 1l StPO)",60,16,20,0,6,3,10,9,11,18,2,1,6,3,3,1,0,169
1,6.1.m,Geldwäsche und Verschleierung unrechtmäßig erlangter Vermögenswerte (§ 100a Abs. 2 Nr. 1m StPO),15,74,52,0,0,32,67,8,25,22,6,1,12,0,8,7,0,329
1,6.1.n,Betrug und Computerbetrug (§ 100a Abs. 2 Nr. 1n StPO),247,715,163,6,10,48,1112,30,163,120,52,12,123,7,147,5,0,2960
1,6.1.o,Subventionsbetrug (§ 100a Abs. 2 Nr. 1o StPO),0,10,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,21
1,6.1.p,Sportwettbetrug u. Manipulation von berufssportlichen Wettbewerben (§ 100a Abs. 2 Nr. 1p StPO),0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,12
