State,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BW,10631278,10716644,10879618,10951893,11023425,11069533,11100394,11103043,11124642,11280257
BY,12604244,12691568,12843514,12930751,12997204,13076721,13124737,13140183,13176989,13369393
BE,3421829,3469849,3520031,3574830,3613495,3644826,3669491,3664088,3677472,3755251
BB,2449193,2457872,2484826,2494648,2504040,2511917,2521893,2531071,2537868,2573135
HB,657391,661888,671489,678753,681032,682986,681202,680130,676463,684864
HH,1746342,1762791,1787408,1810438,1830584,1841179,1847253,1852478,1853935,1892122
HE,6045425,6093888,6176172,6213088,6243262,6265809,6288080,6293154,6295017,6391360
MV,1596505,1599138,1612362,1610674,1611119,1609675,1608138,1610774,1611160,1628378
NI,7790559,7826739,7926599,7945685,7962775,7982448,7993608,8003421,8027031,8140242
NW,17571856,17638098,17865516,17890100,17912134,17932651,17947221,17925570,17924591,18139116
RP,3994366,4011582,4052803,4066053,4073679,4084844,4093903,4098391,4106485,4159150
SL,990718,989035,995597,996651,994187,990509,986887,983991,982348,992666
SN,4046385,4055274,4084851,4081783,4081308,4077937,4071971,4056941,4043002,4086152
ST,2244577,2235548,2245470,2236252,2223081,2208321,2194782,2180684,2169253,2186643
SH,2815955,2830864,2858714,2881926,2889821,2896712,2903773,2910875,2922005,2953270
TH,2160840,2156759,2170714,2158128,2151205,2143145,2133378,2120237,2108863,2126846
