Quartal;Jahr;Gesamt
3.;2023;180251000
2.;2023;177443000
1.;2023;173915000
4.;2022;168998000
3.;2022;169441000
2.;2022;168814000
1.;2022;164673000
4.;2021;161312000
3.;2021;159496000
2.;2021;155198000
1.;2021;151886000
4.;2020;150001000
3.;2020;147076000
2.;2020;144012000
1.;2020;142907000
4.;2019;140716000
3.;2019;138805000
2.;2019;136945000
1.;2019;135470000
4.;2018;134521000
3.;2018;132695000
2.;2018;132485000
1.;2018;131807000
4.;2017;132280000
3.;2017;133076000
2.;2017;132405000
1.;2017;131389000
4.;2016;129870000
3.;2016;128635000
2.;2016;126445000
1.;2016;113985000
4.;2015;113825000
3.;2015;113397000
2.;2015;112397000
1.;2015;112322000
4.;2014;112629000
3.;2014;117331000
2.;2014;116557000
1.;2014;116178000
4.;2013;115225000
4.;2012;113158000
4.;2011;114125000
4.;2010;108846000
4.;2009;108255000
4.;2008;107245000
4.;2007;97151000
4.;2006;85652000
4.;2005;79271000
4.;2004;71322000
4.;2003;64839000
4.;2002;59128000
